,id,title,genres
169,tm163415,They Made Me a Criminal,drama
169,tm163415,They Made Me a Criminal,crime
169,tm163415,They Made Me a Criminal,sport
170,tm101294,Midnight,crime
170,tm101294,Midnight,drama
170,tm101294,Midnight,romance
171,tm18496,The Great Flamarion,drama
171,tm18496,The Great Flamarion,romance
171,tm18496,The Great Flamarion,thriller
172,tm222549,The Driftin' Kid,western
172,tm222549,The Driftin' Kid,action
173,tm101627,The Return Of Chandu,fantasy
173,tm101627,The Return Of Chandu,family
173,tm101627,The Return Of Chandu,horror
174,tm156395,Suicide Squad,romance
174,tm156395,Suicide Squad,action
174,tm156395,Suicide Squad,drama
175,tm110555,Stage Door Canteen,comedy
175,tm110555,Stage Door Canteen,war
175,tm110555,Stage Door Canteen,romance
176,tm73705,The Corpse Vanishes,scifi
176,tm73705,The Corpse Vanishes,horror
177,tm76780,Black Dragons,horror
177,tm76780,Black Dragons,war
177,tm76780,Black Dragons,thriller
178,tm87549,The Gang's All Here,comedy
178,tm87549,The Gang's All Here,action
179,tm70023,Beyond Tomorrow,fantasy
179,tm70023,Beyond Tomorrow,romance
179,tm70023,Beyond Tomorrow,drama
180,tm2363,A Florida Enchantment,fantasy
180,tm2363,A Florida Enchantment,comedy
181,tm6305,The Babe Ruth Story,drama
181,tm6305,The Babe Ruth Story,family
181,tm6305,The Babe Ruth Story,sport
182,tm116534,Why We Fight: The Battle of Russia,documentation
182,tm116534,Why We Fight: The Battle of Russia,war
182,tm116534,Why We Fight: The Battle of Russia,history
183,tm7637,Bulldog Drummond,thriller
183,tm7637,Bulldog Drummond,crime
183,tm7637,Bulldog Drummond,drama
184,tm147347,The Eagle,romance
184,tm147347,The Eagle,drama
184,tm147347,The Eagle,history
184,tm147347,The Eagle,action
184,tm147347,The Eagle,comedy
184,tm147347,The Eagle,european
185,tm86688,Whistle Stop,drama
185,tm86688,Whistle Stop,crime
186,tm5668,Eyes of Texas,western
187,tm1521,'Neath the Arizona Skies,western
187,tm1521,'Neath the Arizona Skies,romance
187,tm1521,'Neath the Arizona Skies,action
188,tm52591,Millie,drama
188,tm52591,Millie,romance
189,tm82883,Target for Tonight,documentation
189,tm82883,Target for Tonight,war
189,tm82883,Target for Tonight,drama
190,tm66818,The Capture,drama
190,tm66818,The Capture,action
190,tm66818,The Capture,western
190,tm66818,The Capture,crime
191,tm348410,Attack in the Pacific,war
191,tm348410,Attack in the Pacific,documentation
191,tm348410,Attack in the Pacific,history
192,tm5079,Under California Stars,western
192,tm5079,Under California Stars,action
192,tm5079,Under California Stars,music
192,tm5079,Under California Stars,comedy
193,tm110773,Report from the Aleutians,documentation
193,tm110773,Report from the Aleutians,history
193,tm110773,Report from the Aleutians,war
194,tm2767,The Marriage Circle,comedy
194,tm2767,The Marriage Circle,romance
195,tm7057,Loaded Pistols,western
196,tm165135,Scrooge,drama
196,tm165135,Scrooge,family
196,tm165135,Scrooge,fantasy
197,tm69475,Hoosier Schoolboy,drama
198,tm82769,Invisible Ghost,thriller
198,tm82769,Invisible Ghost,crime
198,tm82769,Invisible Ghost,drama
198,tm82769,Invisible Ghost,horror
199,tm73200,Li'l Abner,comedy
199,tm73200,Li'l Abner,romance
200,tm112306,The Crystal Ball,comedy
200,tm112306,The Crystal Ball,romance
201,tm81951,Hearts of the World,drama
201,tm81951,Hearts of the World,war
202,tm100065,Blind Husbands,drama
202,tm100065,Blind Husbands,romance
203,tm20308,"Salome, Where She Danced",drama
203,tm20308,"Salome, Where She Danced",western
203,tm20308,"Salome, Where She Danced",war
203,tm20308,"Salome, Where She Danced",music
203,tm20308,"Salome, Where She Danced",romance
204,tm76311,Tom Brown's School Days,drama
205,tm163483,Chandu on the Magic Island,fantasy
205,tm163483,Chandu on the Magic Island,action
206,tm69671,Not Wanted,drama
207,tm7600,Billy The Kid Returns,western
207,tm7600,Billy The Kid Returns,music
207,tm7600,Billy The Kid Returns,romance
207,tm7600,Billy The Kid Returns,comedy
207,tm7600,Billy The Kid Returns,action
208,tm5096,Blonde Ice,drama
208,tm5096,Blonde Ice,romance
208,tm5096,Blonde Ice,crime
209,tm89848,Robin Hood of the Pecos,western
209,tm89848,Robin Hood of the Pecos,comedy
